gesture_id,gesture_name,lm0_wrist_x,lm0_wrist_y,lm0_wrist_z,lm1_thumb_cmc_x,lm1_thumb_cmc_y,lm1_thumb_cmc_z,lm2_thumb_mcp_x,lm2_thumb_mcp_y,lm2_thumb_mcp_z,lm3_thumb_ip_x,lm3_thumb_ip_y,lm3_thumb_ip_z,lm4_thumb_tip_x,lm4_thumb_tip_y,lm4_thumb_tip_z,lm5_index_mcp_x,lm5_index_mcp_y,lm5_index_mcp_z,lm6_index_pip_x,lm6_index_pip_y,lm6_index_pip_z,lm7_index_dip_x,lm7_index_dip_y,lm7_index_dip_z,lm8_index_tip_x,lm8_index_tip_y,lm8_index_tip_z,lm9_middle_mcp_x,lm9_middle_mcp_y,lm9_middle_mcp_z,lm10_middle_pip_x,lm10_middle_pip_y,lm10_middle_pip_z,lm11_middle_dip_x,lm11_middle_dip_y,lm11_middle_dip_z,lm12_middle_tip_x,lm12_middle_tip_y,lm12_middle_tip_z,lm13_ring_mcp_x,lm13_ring_mcp_y,lm13_ring_mcp_z,lm14_ring_pip_x,lm14_ring_pip_y,lm14_ring_pip_z,lm15_ring_dip_x,lm15_ring_dip_y,lm15_ring_dip_z,lm16_ring_tip_x,lm16_ring_tip_y,lm16_ring_tip_z,lm17_pinky_mcp_x,lm17_pinky_mcp_y,lm17_pinky_mcp_z,lm18_pinky_pip_x,lm18_pinky_pip_y,lm18_pinky_pip_z,lm19_pinky_dip_x,lm19_pinky_dip_y,lm19_pinky_dip_z,lm20_pinky_tip_x,lm20_pinky_tip_y,lm20_pinky_tip_z
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0467,-0.0623,-0.031,-0.0557,-0.1547,-0.0476,-0.0101,-0.2055,-0.0651,0.0366,-0.2068,-0.0815,-0.0393,-0.2645,-0.0259,-0.0463,-0.38,-0.055,-0.0466,-0.4482,-0.0734,-0.0431,-0.5088,-0.0872,0.0091,-0.2424,-0.0319,0.037,-0.3004,-0.0828,0.021,-0.2305,-0.0965,0.0067,-0.1812,-0.0927,0.0505,-0.2034,-0.0419,0.0699,-0.2326,-0.0873,0.041,-0.1724,-0.0831,0.0236,-0.1394,-0.0671,0.0815,-0.1533,-0.0552,0.0947,-0.1808,-0.0793,0.0661,-0.1423,-0.0703,0.0477,-0.115,-0.0568
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0388,-0.0577,-0.0385,-0.0447,-0.1406,-0.0594,0.0018,-0.193,-0.0797,0.0501,-0.2122,-0.0977,-0.0377,-0.2571,-0.0281,-0.0418,-0.3651,-0.0593,-0.039,-0.4293,-0.0796,-0.0327,-0.4864,-0.0938,0.009,-0.2405,-0.0297,0.0441,-0.2976,-0.0811,0.0282,-0.2321,-0.0952,0.0109,-0.1881,-0.0913,0.0486,-0.208,-0.0366,0.0757,-0.2347,-0.0829,0.0489,-0.1737,-0.0781,0.0309,-0.1435,-0.0611,0.0783,-0.1632,-0.0474,0.1055,-0.1944,-0.0732,0.0795,-0.1543,-0.0647,0.0586,-0.1281,-0.0508
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0397,-0.0564,-0.0381,-0.0468,-0.1417,-0.0591,-0.0006,-0.1956,-0.0795,0.049,-0.212,-0.0977,-0.0383,-0.2577,-0.029,-0.0399,-0.3695,-0.0603,-0.036,-0.4343,-0.0807,-0.0289,-0.492,-0.0954,0.0086,-0.2387,-0.0311,0.0417,-0.3026,-0.0823,0.0257,-0.2345,-0.0954,0.0101,-0.1885,-0.0912,0.0481,-0.2046,-0.0384,0.0732,-0.2402,-0.0843,0.0467,-0.1771,-0.0772,0.0304,-0.1442,-0.0589,0.0781,-0.1577,-0.0499,0.1041,-0.1976,-0.0756,0.0785,-0.1562,-0.0655,0.0587,-0.1265,-0.0509
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0412,-0.0585,-0.0333,-0.0482,-0.1468,-0.0512,-0.0007,-0.1977,-0.0692,0.0478,-0.2121,-0.0855,-0.038,-0.2555,-0.0273,-0.0407,-0.3684,-0.0566,-0.0382,-0.4321,-0.0754,-0.0308,-0.4909,-0.0898,0.0097,-0.2368,-0.0306,0.0385,-0.2965,-0.0779,0.0217,-0.2256,-0.0886,0.009,-0.1813,-0.0843,0.0495,-0.2026,-0.0385,0.0734,-0.2378,-0.0814,0.0462,-0.1734,-0.0729,0.031,-0.1402,-0.0552,0.0791,-0.1564,-0.0501,0.1034,-0.1939,-0.0752,0.0771,-0.1517,-0.0653,0.0586,-0.1222,-0.0514
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0409,-0.0581,-0.0346,-0.0481,-0.1446,-0.0538,-0.0027,-0.1971,-0.073,0.0467,-0.2138,-0.0904,-0.0367,-0.2581,-0.0275,-0.0401,-0.3684,-0.058,-0.0371,-0.4331,-0.0777,-0.0296,-0.4915,-0.092,0.0104,-0.2392,-0.0311,0.0422,-0.3038,-0.0807,0.0244,-0.2363,-0.0931,0.0084,-0.1902,-0.0888,0.0502,-0.2047,-0.0394,0.0755,-0.2396,-0.0842,0.0472,-0.1767,-0.0769,0.0297,-0.1427,-0.0589,0.0801,-0.1578,-0.0515,0.1043,-0.1964,-0.0764,0.0776,-0.155,-0.066,0.0582,-0.1252,-0.0513
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0439,-0.0598,-0.0332,-0.0482,-0.1541,-0.0482,0.003,-0.2054,-0.0635,0.0535,-0.2166,-0.0773,-0.0388,-0.2587,-0.0196,-0.0384,-0.3676,-0.0463,-0.035,-0.4314,-0.0626,-0.0283,-0.4886,-0.0745,0.0082,-0.2403,-0.0231,0.0408,-0.3056,-0.0715,0.025,-0.2385,-0.0848,0.0086,-0.1898,-0.0798,0.0485,-0.2061,-0.0313,0.0747,-0.2377,-0.0765,0.0474,-0.174,-0.073,0.029,-0.1407,-0.0562,0.0777,-0.1608,-0.0428,0.0988,-0.1924,-0.0679,0.0732,-0.1489,-0.0594,0.0552,-0.1198,-0.0454
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0445,-0.0607,-0.0352,-0.0518,-0.1552,-0.0516,-0.0027,-0.2077,-0.0679,0.0478,-0.2143,-0.0824,-0.042,-0.2591,-0.0222,-0.0427,-0.3689,-0.0508,-0.0388,-0.4332,-0.0688,-0.0307,-0.4909,-0.0821,0.0042,-0.2411,-0.0252,0.0373,-0.309,-0.0749,0.0218,-0.2409,-0.088,0.0082,-0.1926,-0.083,0.0434,-0.2064,-0.0333,0.0707,-0.2416,-0.0786,0.0443,-0.1809,-0.0746,0.0287,-0.1485,-0.0576,0.0722,-0.1595,-0.0452,0.0967,-0.1951,-0.0695,0.0719,-0.157,-0.0609,0.0546,-0.1293,-0.0473
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0416,-0.0572,-0.0345,-0.0495,-0.1467,-0.0521,-0.0022,-0.2,-0.0693,0.0466,-0.2121,-0.0851,-0.036,-0.2565,-0.0279,-0.0365,-0.3659,-0.0579,-0.0327,-0.4296,-0.0771,-0.0261,-0.4871,-0.0913,0.0106,-0.2364,-0.0309,0.0396,-0.2999,-0.081,0.0234,-0.2289,-0.0931,0.0092,-0.1787,-0.0879,0.0497,-0.2007,-0.0385,0.0739,-0.2333,-0.084,0.0459,-0.1673,-0.0766,0.0284,-0.1297,-0.0579,0.078,-0.1528,-0.0497,0.1005,-0.188,-0.0763,0.0742,-0.1449,-0.0665,0.0551,-0.1138,-0.0515
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0477,-0.0594,-0.0324,-0.0601,-0.1509,-0.0518,-0.0165,-0.2059,-0.0721,0.0377,-0.2094,-0.0905,-0.0463,-0.2582,-0.0256,-0.0463,-0.3733,-0.058,-0.0419,-0.4368,-0.0767,-0.0323,-0.4966,-0.0896,-0.0002,-0.2408,-0.0316,0.0275,-0.3008,-0.0863,0.0086,-0.228,-0.0989,-0.0026,-0.1849,-0.0924,0.0407,-0.2069,-0.0423,0.0585,-0.2315,-0.0909,0.0304,-0.1636,-0.0836,0.02,-0.1367,-0.0635,0.0743,-0.1603,-0.0565,0.0843,-0.1848,-0.08,0.0582,-0.1391,-0.0675,0.0472,-0.115,-0.0505
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0454,-0.0589,-0.026,-0.0615,-0.1555,-0.0411,-0.0163,-0.2092,-0.0576,0.0332,-0.2058,-0.0736,-0.0334,-0.2567,-0.0257,-0.0351,-0.3684,-0.0555,-0.0327,-0.4324,-0.075,-0.0265,-0.4914,-0.0908,0.0143,-0.2363,-0.0331,0.0279,-0.3017,-0.0821,0.0052,-0.2279,-0.0924,-0.005,-0.1787,-0.0872,0.0542,-0.1976,-0.0442,0.0614,-0.2332,-0.0864,0.028,-0.1667,-0.0764,0.0168,-0.1293,-0.0578,0.0855,-0.1465,-0.0586,0.0871,-0.1761,-0.0827,0.0553,-0.1362,-0.073,0.0425,-0.109,-0.0596
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0459,-0.057,-0.0253,-0.0606,-0.1477,-0.0397,-0.0151,-0.1995,-0.0558,0.037,-0.2032,-0.0711,-0.0362,-0.2481,-0.022,-0.0342,-0.3568,-0.0506,-0.0306,-0.4202,-0.0677,-0.0238,-0.479,-0.0808,0.0095,-0.228,-0.0304,0.0313,-0.3039,-0.0782,0.0076,-0.2383,-0.0892,-0.008,-0.1895,-0.0837,0.0484,-0.1913,-0.0424,0.0621,-0.2315,-0.0864,0.0297,-0.1666,-0.0785,0.0157,-0.1313,-0.0599,0.0788,-0.1419,-0.0572,0.0881,-0.1785,-0.0811,0.0581,-0.1379,-0.0702,0.0432,-0.1087,-0.0556
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0469,-0.0629,-0.0266,-0.0533,-0.1616,-0.0388,-0.0031,-0.217,-0.0528,0.0471,-0.2217,-0.0663,-0.0341,-0.2573,-0.016,-0.0323,-0.3652,-0.0408,-0.0282,-0.4293,-0.0562,-0.0221,-0.4862,-0.0676,0.0111,-0.2363,-0.022,0.0361,-0.3091,-0.0675,0.0206,-0.2469,-0.0799,0.0071,-0.1943,-0.0748,0.0496,-0.2013,-0.0318,0.0666,-0.2384,-0.0749,0.0406,-0.1755,-0.0705,0.0256,-0.1341,-0.0532,0.0789,-0.155,-0.0445,0.0959,-0.1967,-0.0679,0.0699,-0.1552,-0.0582,0.0523,-0.1188,-0.0436
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.047,-0.0591,-0.0273,-0.0591,-0.1561,-0.0402,-0.0109,-0.2115,-0.0542,0.0411,-0.214,-0.0671,-0.0367,-0.2527,-0.0193,-0.0336,-0.3617,-0.0448,-0.0294,-0.4227,-0.0602,-0.0217,-0.4784,-0.0722,0.0091,-0.2328,-0.0245,0.0332,-0.303,-0.0701,0.0163,-0.2344,-0.0796,0.0053,-0.1825,-0.073,0.0477,-0.1982,-0.0338,0.0641,-0.2332,-0.0747,0.0367,-0.1696,-0.067,0.0237,-0.1305,-0.0487,0.0764,-0.1521,-0.0464,0.0908,-0.1878,-0.0685,0.0633,-0.1471,-0.0586,0.0475,-0.1147,-0.0447
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0451,-0.0562,-0.0263,-0.0705,-0.1443,-0.0433,-0.0398,-0.2122,-0.0619,0.0125,-0.2106,-0.0793,-0.0419,-0.2542,-0.0196,-0.0484,-0.3619,-0.0461,-0.052,-0.4241,-0.0619,-0.0508,-0.4796,-0.0747,0.0044,-0.2393,-0.0261,0.0127,-0.3057,-0.0705,-0.0016,-0.2341,-0.0789,-0.007,-0.1846,-0.0729,0.0451,-0.208,-0.0367,0.0465,-0.2422,-0.0778,0.0205,-0.1741,-0.0693,0.0114,-0.1341,-0.0514,0.0786,-0.1638,-0.0504,0.0752,-0.1926,-0.0725,0.047,-0.15,-0.0631,0.034,-0.1184,-0.0501
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0474,-0.0532,-0.028,-0.0753,-0.1456,-0.0445,-0.0419,-0.2161,-0.0622,0.0123,-0.2168,-0.0786,-0.0443,-0.2668,-0.0208,-0.0518,-0.3749,-0.0469,-0.0566,-0.4366,-0.0631,-0.0562,-0.4936,-0.0768,0.0048,-0.2534,-0.0267,0.0113,-0.3131,-0.0728,-0.0054,-0.2407,-0.0833,-0.0126,-0.1913,-0.079,0.0468,-0.2219,-0.0368,0.0459,-0.2495,-0.079,0.0186,-0.1809,-0.0727,0.0088,-0.1413,-0.0566,0.081,-0.1767,-0.0502,0.0746,-0.1983,-0.0738,0.0457,-0.1554,-0.0669,0.0334,-0.1253,-0.056
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0474,-0.0517,-0.0273,-0.0748,-0.1486,-0.0438,-0.0416,-0.2205,-0.0616,0.0095,-0.2218,-0.078,-0.0441,-0.2687,-0.0221,-0.0507,-0.3782,-0.0491,-0.0563,-0.4417,-0.066,-0.0566,-0.5002,-0.0807,0.0043,-0.2539,-0.0291,0.007,-0.3152,-0.0757,-0.0091,-0.2389,-0.0853,-0.0121,-0.1935,-0.0809,0.0459,-0.2209,-0.0402,0.0455,-0.2562,-0.0824,0.0194,-0.1845,-0.0725,0.0132,-0.1485,-0.0548,0.0809,-0.1744,-0.0547,0.0741,-0.2057,-0.0785,0.0457,-0.1599,-0.0692,0.036,-0.1297,-0.0569
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0484,-0.0454,-0.0264,-0.0714,-0.1424,-0.0414,-0.0353,-0.2089,-0.0576,0.0129,-0.2092,-0.0725,-0.0428,-0.2509,-0.0246,-0.047,-0.3657,-0.0543,-0.0494,-0.4295,-0.0715,-0.0464,-0.4898,-0.0857,0.0041,-0.2379,-0.0313,0.0142,-0.2952,-0.0809,-0.0037,-0.2148,-0.0891,-0.0078,-0.1729,-0.0822,0.0437,-0.208,-0.042,0.045,-0.2259,-0.0846,0.017,-0.1526,-0.0717,0.0114,-0.1259,-0.0514,0.0765,-0.1656,-0.0562,0.0728,-0.178,-0.079,0.0447,-0.129,-0.0674,0.0366,-0.1072,-0.0531
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0484,-0.0503,-0.0243,-0.0716,-0.1466,-0.0378,-0.035,-0.2113,-0.0525,0.0123,-0.2065,-0.0664,-0.041,-0.2513,-0.0233,-0.0432,-0.3648,-0.0494,-0.0429,-0.4288,-0.0655,-0.0404,-0.4885,-0.0792,0.0059,-0.2365,-0.03,0.0179,-0.302,-0.0754,0.0012,-0.2281,-0.0842,-0.0068,-0.1786,-0.0784,0.0455,-0.205,-0.0398,0.0486,-0.2344,-0.0794,0.0209,-0.1647,-0.0696,0.0114,-0.1255,-0.0517,0.0773,-0.1614,-0.0528,0.0727,-0.1805,-0.0746,0.0446,-0.136,-0.0655,0.0347,-0.1077,-0.0529
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0466,-0.0544,-0.0249,-0.0713,-0.1504,-0.0397,-0.0359,-0.2195,-0.0564,0.0166,-0.2211,-0.0725,-0.0411,-0.257,-0.019,-0.0413,-0.3675,-0.0454,-0.0415,-0.43,-0.0611,-0.0376,-0.4885,-0.0742,0.0054,-0.2396,-0.0267,0.014,-0.3086,-0.0722,-0.0048,-0.2311,-0.0796,-0.0106,-0.1825,-0.0728,0.0456,-0.2056,-0.0383,0.0514,-0.2514,-0.0802,0.0227,-0.1789,-0.0689,0.0136,-0.1381,-0.0492,0.0788,-0.1584,-0.0529,0.0803,-0.1986,-0.0757,0.0519,-0.1551,-0.0643,0.0403,-0.1233,-0.0499
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0456,-0.0573,-0.0242,-0.0688,-0.1519,-0.0392,-0.0375,-0.2238,-0.0564,0.0132,-0.2327,-0.0729,-0.0409,-0.2553,-0.017,-0.0437,-0.361,-0.0431,-0.0465,-0.4208,-0.0581,-0.0444,-0.4763,-0.0699,0.0054,-0.2381,-0.0249,0.0122,-0.3125,-0.0702,-0.0064,-0.2367,-0.0778,-0.0123,-0.1849,-0.0704,0.0462,-0.2051,-0.0367,0.0468,-0.2546,-0.0794,0.0192,-0.18,-0.0686,0.0109,-0.1348,-0.0482,0.0809,-0.1597,-0.0513,0.0768,-0.2041,-0.0735,0.0499,-0.1591,-0.0614,0.0402,-0.1248,-0.046
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0467,-0.059,-0.0226,-0.07,-0.1503,-0.0376,-0.0381,-0.2213,-0.0549,0.0137,-0.2285,-0.0716,-0.0431,-0.2575,-0.0178,-0.0484,-0.3657,-0.0453,-0.0504,-0.4269,-0.0628,-0.0491,-0.4828,-0.0767,0.0035,-0.2421,-0.0262,0.0116,-0.3147,-0.0707,-0.0051,-0.2385,-0.0784,-0.0122,-0.1871,-0.0721,0.0446,-0.2092,-0.0385,0.048,-0.2551,-0.0787,0.0207,-0.1834,-0.0673,0.0106,-0.1388,-0.0476,0.0777,-0.1619,-0.0537,0.0774,-0.2039,-0.0745,0.0492,-0.162,-0.0623,0.0372,-0.1284,-0.0475
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.047,-0.0565,-0.0219,-0.0698,-0.1453,-0.0366,-0.038,-0.2144,-0.054,0.0093,-0.2156,-0.0709,-0.0476,-0.2554,-0.0192,-0.0541,-0.367,-0.0464,-0.057,-0.4292,-0.064,-0.0564,-0.4866,-0.0784,-0.0024,-0.2385,-0.0276,0.0079,-0.3062,-0.0718,-0.0072,-0.2275,-0.0797,-0.0145,-0.1777,-0.0742,0.0379,-0.2049,-0.0396,0.0461,-0.2505,-0.0791,0.0202,-0.1778,-0.0674,0.0087,-0.133,-0.0481,0.0685,-0.1564,-0.0544,0.0776,-0.2039,-0.0759,0.0505,-0.1606,-0.0638,0.0365,-0.124,-0.0489
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0458,-0.0503,-0.0252,-0.07,-0.14,-0.0412,-0.0353,-0.2057,-0.0588,0.0144,-0.2111,-0.0757,-0.0465,-0.2526,-0.0235,-0.0543,-0.3647,-0.0528,-0.0587,-0.4265,-0.0707,-0.059,-0.4846,-0.0852,0.0001,-0.2358,-0.0314,0.0107,-0.3047,-0.0791,-0.0049,-0.2238,-0.0874,-0.0104,-0.1784,-0.0814,0.0404,-0.2026,-0.0433,0.0488,-0.2447,-0.087,0.0223,-0.168,-0.0747,0.0133,-0.1302,-0.0544,0.0723,-0.156,-0.0582,0.078,-0.1944,-0.083,0.0506,-0.1457,-0.0709,0.0389,-0.1153,-0.0558
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0484,-0.054,-0.0232,-0.075,-0.1434,-0.039,-0.0426,-0.2096,-0.0571,0.006,-0.2088,-0.0744,-0.0519,-0.2557,-0.0226,-0.0616,-0.3688,-0.0519,-0.0668,-0.431,-0.0704,-0.0675,-0.4895,-0.0857,-0.0047,-0.2391,-0.0316,0.0059,-0.3025,-0.0791,-0.0092,-0.2193,-0.0872,-0.0146,-0.1725,-0.0814,0.037,-0.2054,-0.0443,0.0456,-0.2453,-0.0862,0.0198,-0.169,-0.0729,0.0108,-0.1306,-0.0528,0.0696,-0.1574,-0.0602,0.076,-0.1934,-0.0833,0.0487,-0.1455,-0.0705,0.0372,-0.1156,-0.0553
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0496,-0.0533,-0.0234,-0.0729,-0.1503,-0.0374,-0.0377,-0.2214,-0.0532,0.011,-0.2254,-0.0683,-0.0481,-0.2555,-0.023,-0.0573,-0.3683,-0.0525,-0.0633,-0.4305,-0.0719,-0.0641,-0.4888,-0.0878,-0.0004,-0.2385,-0.0312,0.0167,-0.3079,-0.0797,-0.0027,-0.2266,-0.0886,-0.0137,-0.1761,-0.0827,0.0403,-0.2054,-0.043,0.0508,-0.2419,-0.0852,0.0207,-0.166,-0.0732,0.0078,-0.1242,-0.0535,0.0709,-0.1593,-0.0579,0.0768,-0.1899,-0.0825,0.0475,-0.1414,-0.0717,0.0343,-0.1103,-0.0576
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0477,-0.0559,-0.0218,-0.0711,-0.1476,-0.0355,-0.0365,-0.2182,-0.0507,0.0135,-0.2145,-0.0648,-0.0449,-0.2548,-0.0264,-0.0541,-0.3729,-0.0562,-0.0585,-0.4379,-0.0771,-0.0586,-0.4955,-0.0942,0.0005,-0.2374,-0.0337,0.0159,-0.2994,-0.0789,-0.0026,-0.2185,-0.0863,-0.0131,-0.1688,-0.0812,0.0408,-0.2044,-0.0442,0.0516,-0.2404,-0.0798,0.0228,-0.1686,-0.0658,0.0097,-0.1271,-0.047,0.0687,-0.1566,-0.0584,0.0788,-0.1878,-0.0781,0.0484,-0.1454,-0.0668,0.0343,-0.1149,-0.0534
